model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,f1_mean,f1_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std
catboost,0.9548157730471335,0.001474064481674787,0.6891796240212309,0.005453035786653952,0.9584108152009378,0.0005350744191245391,0.5892437731301762,0.00426008462445496,79.4065711985575,23.29289343143633,0.4297165135620162,0.07307831231220206
tabicl,0.9506276302063214,0.0018763613435809152,0.6538986235497527,0.004472236961779707,0.955554000193121,0.00044589981074015116,0.5478200965485633,0.0030441598798898266,3.724476753198542,1.3372392145524767,502.96425962799697,0.7582818416169935
tabpfn_v2_5,0.9499657591109572,0.001770169477394274,0.6551077259265001,0.005583913227497436,0.9557745270769884,0.0004858306769317305,0.5489752063803778,0.002376928532787795,12.537695511011407,1.2442592101456718,2009.9971636875998,4.498047111880513
